Number,Latitude,Longitude,Name,Type
318,56.84023,-4.852564,Stob Coire na Gaibhre [Stob Coire Gaibhre],MOUTAIN
319,56.74522,-4.912907,Sgor Eilde Beag,MOUTAIN
320,56.76699,-4.911065,Binnein Beag,MOUTAIN
321,56.749867,-5.072381,Mullach nan Coirean,MOUTAIN
322,56.827434,-4.938757,Tom na Sroine,MOUTAIN
323,56.743308,-5.057286,Mullach nan Coirean SE Top [South Top],MOUTAIN
324,56.74468,-5.047517,Mullach nan Coirean East Top,MOUTAIN
325,56.745006,-5.083959,Meall a'Chaorainn,MOUTAIN
326,56.747106,-4.975421,Stob Coire a'Chairn South Top,MOUTAIN
327,56.738929,-4.730754,Leum Uilleim,MOUTAIN
328,56.84684,-4.821936,Cruach Innse,MOUTAIN
329,56.833314,-4.80398,Sgurr Innse,MOUTAIN
330,56.716426,-5.081585,Mam na Gualainn,MOUTAIN
331,56.736083,-4.847886,Glas Bheinn,MOUTAIN
332,56.85768,-4.785132,Cnap Cruinn,MOUTAIN
333,56.794678,-4.816982,Meall Mor,MOUTAIN
334,56.81025,-5.050078,Meall an t-Suidhe,MOUTAIN
335,56.743792,-4.806432,Beinn na Cloiche,MOUTAIN
336,56.757411,-4.772528,Meall a'Bhainne,MOUTAIN
337,56.781438,-4.784209,Creag Ghuanach,MOUTAIN
338,56.71135,-5.126542,Tom Meadhoin,MOUTAIN
339,56.739262,-5.168838,Beinn na Gucaig,MOUTAIN
340,56.718763,-4.899613,Meall na Duibhe,MOUTAIN
341,56.731854,-5.122963,Doire Ban,MOUTAIN
342,56.79049,-5.087972,Bidein Bad na h-Iolaire,MOUTAIN
343,56.794074,-5.128432,Druim na h-Earba,MOUTAIN
344,56.881754,-5.010477,Cruim Leacainn,MOUTAIN
345,56.813796,-4.465089,Ben Alder,MOUTAIN
346,56.837836,-4.509727,Geal-charn,MOUTAIN
347,56.833496,-4.529181,Aonach Beag,MOUTAIN
348,56.825254,-4.542082,Beinn Eibhinn,MOUTAIN
349,56.869525,-4.509684,Beinn a'Chlachair,MOUTAIN
350,56.897763,-4.457236,Geal Charn,MOUTAIN
351,56.830086,-4.660831,Chno Dearg,MOUTAIN
352,56.855241,-4.454709,Carn Dearg,MOUTAIN
353,56.836293,-4.477193,Sgor Iutharn,MOUTAIN
354,56.813276,-4.430646,Beinn Bheoil,MOUTAIN
355,56.896973,-4.448957,Sron Garbh,MOUTAIN
356,56.831736,-4.694917,Stob Coire Sgriodain,MOUTAIN
357,56.820316,-4.670512,Meall Garbh (old GR),MOUTAIN
358,56.817669,-4.669029,Meall Garbh,MOUTAIN
359,56.877771,-4.48473,Beinn a'Chlachair East Top,MOUTAIN
360,56.827378,-4.69026,Stob Coire Sgriodain South Top,MOUTAIN
361,56.772544,-4.546498,Sgor Gaibhre,MOUTAIN
362,56.801603,-4.436606,Sron Coire na h-Iolaire,MOUTAIN
363,56.759931,-4.589888,Carn Dearg,MOUTAIN
364,56.78939,-4.659994,Beinn na Lap,MOUTAIN
365,56.780367,-4.548943,Sgor Choinnich,MOUTAIN
366,56.820156,-4.562889,Meall Glas Choire,MOUTAIN
367,56.899712,-4.484972,Creag Pitridh,MOUTAIN
368,56.825744,-4.573893,Mullach Coire nan Nead,MOUTAIN
369,56.848794,-4.482168,Diollaid a'Chairn,MOUTAIN
370,56.928372,-4.304853,The Fara,MOUTAIN
371,56.916554,-4.30884,The Fara South Top,MOUTAIN
372,56.805321,-4.519511,Beinn a'Chumhainn,MOUTAIN
373,56.907285,-4.323068,Leacann na Sguabaich,MOUTAIN
374,56.743606,-4.538978,Beinn Pharlagain [Ben Pharlagain - Meall na Meoig],MOUTAIN
375,56.909846,-4.52591,Binnein Shuas,MOUTAIN
376,56.933896,-4.363148,Beinn Eilde,MOUTAIN
377,56.938059,-4.479549,Binnein Shios,MOUTAIN
378,56.957105,-4.309095,Meall nan Eagan,MOUTAIN
379,57.003995,-4.193758,Cruban Beag,MOUTAIN
380,56.985618,-4.280738,Creag na Doire Duibhe,MOUTAIN
381,56.881732,-4.599608,Meall Luidh Mor,MOUTAIN
382,56.707494,-4.530629,Sron Smeur,MOUTAIN
383,56.835472,-4.329913,Beinn Udlamain,MOUTAIN
384,773130,56.828447,Sgairneach Mhor,MOUTAIN
385,56.824983,-4.303873,Sgairneach Mhor (old GR),MOUTAIN
386,56.856993,-4.290668,A'Mharconaich,MOUTAIN
387,56.853247,-4.294998,Bruach nan Iomairean (1974 position),MOUTAIN
388,56.96385,-4.112585,Meall Chuaich,MOUTAIN
389,56.911739,-4.174494,Carn na Caim,MOUTAIN
390,56.870399,-4.198839,A'Bhuidheanach Bheag,MOUTAIN
391,56.865197,-4.165819,Glas Mheall Mor,MOUTAIN
392,56.874433,-4.304519,Geal-charn,MOUTAIN
393,56.869972,-4.222918,Meall a'Chaorainn,MOUTAIN
394,56.898238,-4.195254,Carn na Caim South Top [Mullach Coire nan Cisteachan],MOUTAIN
395,56.729024,-4.151523,Beinn a'Chuallaich,MOUTAIN
396,56.793293,-4.396092,Stob an Aonaich Mhoir,MOUTAIN
397,56.759525,-4.3121,Beinn Mholach,MOUTAIN
398,56.775052,-4.352551,Glas Mheall Mor,MOUTAIN
399,56.898097,-4.107425,An Dun,MOUTAIN
400,780143,56.894806,An Dun,MOUTAIN
401,56.838121,-4.25515,The Sow of Atholl [Meall an Dobharchain],MOUTAIN
402,56.804175,-4.227884,Meall na Leitreach,MOUTAIN
403,56.966377,-4.163957,Creag Ruadh,MOUTAIN
404,56.756739,-4.234726,Creag a'Mhadaidh,MOUTAIN
405,56.741272,-4.058998,Drumcroy Hill,MOUTAIN
406,56.877346,-3.883719,Beinn Dearg,MOUTAIN
407,56.931928,-3.754367,An Sgarsoch,MOUTAIN
408,56.935919,-3.801661,Carn an Fhidhleir [Carn Ealar],MOUTAIN
409,56.860968,-3.779629,Carn a'Chlamain,MOUTAIN
410,56.863886,-3.783349,Carn a'Chlamain North Top,MOUTAIN
411,56.931614,-3.735187,Druim Sgarsoch,MOUTAIN
412,56.888602,-3.886895,Beinn Gharbh,MOUTAIN
413,56.948652,-3.93864,Leathad an Taobhain,MOUTAIN
414,56.916127,-3.86034,Beinn Bhreac,MOUTAIN
415,56.860948,-3.838457,Beinn Mheadhonach,MOUTAIN
416,56.90042,-4.078177,A'Chaoirnich [Maol Creag an Loch],MOUTAIN
417,56.996795,-3.938665,Carn Dearg Mor,MOUTAIN
418,56.964385,-3.882731,Carn an Fhidhleir Lorgaidh,MOUTAIN
419,56.883086,-3.976334,Meall Odhar a'Chire,MOUTAIN
420,56.9928,-4.01522,Meallach Mhor,MOUTAIN
421,56.839837,-3.688006,Beinn a'Ghlo - Carn nan Gabhar,MOUTAIN
422,56.831083,-3.729505,Beinn a'Ghlo - Braigh Coire Chruinn-bhalgain,MOUTAIN
423,56.827794,-3.702754,Airgiod Bheinn,MOUTAIN
424,56.865757,-3.55818,Glas Tulaichean,MOUTAIN
425,56.894994,-3.568229,Beinn Iutharn Mhor,MOUTAIN
426,56.876565,-3.595272,Carn an Righ,MOUTAIN
427,56.883272,-3.562257,Mam nan Carn,MOUTAIN
